"Colaborador","Frecuencia"
"Reynolds, Rothay",1
"Ribera",1
"Riche, Iván",1
"Río, Clara del",1
"Riva de Sella, Leopoldo",1
"Rivero, Gonzalo",1
"Robledo A., Jorge",1
"Robledo Villa, Alonso",1
"Robledo, Alfonso",1
"Robledo, Jaime",1
"Robles, Alfonso",1
"Roca, M.",1
"Rodríguez Castro, Arturo",1
"Rodríguez G., Sixto",1
"Rodríguez L., Enrique",1
"Rodríguez Mira, L.",1
"Rodríguez P., José",1
"Rodríguez Pérez, Tomás",1
"Rodríguez Rendueles, Manuel",1
"Rodríguez, Alfonso",1
"Rodríguez, Alfredo J.",1
"Rodríguez, Horacio",1
"Rodríguez, Jorge",1
"Rodríguez, Martín",1
"Rojas, Julio A.",1
"Rojo-Arial, Ignacio",1
"Romero P., Carlos",1
"Romero, Manuel Antonio",1
"Romero, Manuel de J.",1
"Root, Elihu",1
"Roscio, Juan G.",1
"Ross, Ronald",1
"Rossel, Juan Carlos",1
"Rosseti, Dante Gabriel",1
"Rossi Aguiar, Juan C.",1
"Rowe, L. S.",1
"RR.LL",1
"Rubió y Lluch, Antonio",1
"Russel Hart, Francis",1
"S.",1
"Sabogal, Mario",1
"Saboya, Adelfa",1
"Saenz, Alberto",1
"Saíz, José María",1
"Salazar Álvarez, José María",1
"Salazar H. Jerónimo",1
"Salazar, Juan de",1
"Saldarriaga, Antonio",1
"Salduba",1
"Sanchéz de Iriarte, Alberto",1
"Sánchez, Libia",1
"Sánchez, Livia",1
"Sanín Villa, G.",1
"Sant Pinxit",1
"Santamaría, Nepomuceno",1
"Santamaría, Teresita",1
"Schuler, Ricardo",1
"Schwob, L.",1
"Scott",1
"Segovia, L.",1
"Sepulveda, Antonio M.",1
"Serna R., Eleuterio",1
"Silva, Clímaco",1
"Solis Moncada, Jose",1
"Soto Hall, Máximo",1
"Spenser, Edmund",1
"Struss, A.V.",1
"Sulia",1
"Tamayo, Carlos",1
"Tavera C., Rafael",1
"Terán, Luis María",1
"Tobar, Alfonso",1
"Tobón Olarte, Valerio",1
"Tobón Uribe, L.",1
"Toro, Antonio J.",1
"Toro, Julio",1
"Toro, Rita de",1
"Torres Palau, Lucía",1
"Torres, Carlos",1
"Un Sud Americano",1
"Uribe Álvarez, Eduardo",1
"Uribe Uribe, Amalia",1
"Uribe V., Alberto",1
